clade	lineage
21J (Delta)	AY.4.12
21J (Delta)	AY.4.13
21J (Delta)	AY.4.14
21J (Delta)	AY.4.15
21J (Delta)	AY.4.16
21J (Delta)	AY.4.17
21J (Delta)	AY.4.2
21J (Delta)	AY.42
21J (Delta)	AY.4.2.1
21J (Delta)	AY.42.1
21J (Delta)	AY.4.2.2
21J (Delta)	AY.4.2.3
21J (Delta)	AY.4.2.4
21J (Delta)	AY.4.2.5
21J (Delta)	AY.4.3
21J (Delta)	AY.43
21J (Delta)	AY.43.1
21J (Delta)	AY.43.2
21J (Delta)	AY.43.3
21J (Delta)	AY.43.4
21J (Delta)	AY.43.5
21J (Delta)	AY.43.6
21J (Delta)	AY.43.7
21J (Delta)	AY.43.8
21J (Delta)	AY.43.9
21J (Delta)	AY.4.4
21J (Delta)	AY.44
21J (Delta)	AY.4.5
21J (Delta)	AY.45
21J (Delta)	AY.4.6
21J (Delta)	AY.46
21J (Delta)	AY.46.1
21J (Delta)	AY.46.2
21J (Delta)	AY.46.3
21J (Delta)	AY.46.4
21J (Delta)	AY.46.5
21J (Delta)	AY.46.6
21J (Delta)	AY.46.6.1
21J (Delta)	AY.4.7
21J (Delta)	AY.4.8
21J (Delta)	AY.4.9
21J (Delta)	AY.5
21J (Delta)	AY.5.1
21J (Delta)	AY.5.2
21J (Delta)	AY.5.3
21J (Delta)	AY.5.4
21J (Delta)	AY.5.5
21J (Delta)	AY.5.6
21J (Delta)	AY.6
21J (Delta)	AY.7
21J (Delta)	AY.7.1
21J (Delta)	AY.7.2
21J (Delta)	AY.76
21J (Delta)	AY.77
21J (Delta)	AY.78
21J (Delta)	AY.79
21J (Delta)	AY.80
21J (Delta)	AY.81
21J (Delta)	AY.82
21J (Delta)	AY.83
21J (Delta)	AY.84
21J (Delta)	AY.85
21J (Delta)	AY.86
21J (Delta)	AY.87
21J (Delta)	AY.88
21J (Delta)	AY.90
21J (Delta)	AY.91
21J (Delta)	AY.91.1
21J (Delta)	AY.92
21J (Delta)	AY.93
21J (Delta)	AY.94
21J (Delta)	AY.95
21J (Delta)	AY.98
21J (Delta)	AY.98.1
21J (Delta)	AY.98.1.1
21J (Delta)	AY.99
21J (Delta)	AY.99.1
21J (Delta)	AY.99.2
21J (Delta)	B.1.617.2
21K (BA.1)	BA.1
21K (BA.1)	BA.1.1
21K (BA.1)	BA.1.10
21K (BA.1)	BA.1.1.1
21K (BA.1)	BA.1.1.10
21K (BA.1)	BA.1.1.11
21K (BA.1)	BA.1.1.12
21K (BA.1)	BA.1.1.13
21K (BA.1)	BA.1.1.14
21K (BA.1)	BA.1.1.15
21K (BA.1)	BA.1.1.16
21K (BA.1)	BA.1.1.17
21K (BA.1)	BA.1.1.18
21K (BA.1)	BA.1.1.2
21K (BA.1)	BA.1.12
21K (BA.1)	BA.1.1.3
21K (BA.1)	BA.1.13
21K (BA.1)	BA.1.13.1
21K (BA.1)	BA.1.1.4
21K (BA.1)	BA.1.14
21K (BA.1)	BA.1.14.1
21K (BA.1)	BA.1.14.2
21K (BA.1)	BA.1.1.5
21K (BA.1)	BA.1.15
21K (BA.1)	BA.1.15.1
21K (BA.1)	BA.1.15.2
21K (BA.1)	BA.1.15.3
21K (BA.1)	BA.1.1.6
21K (BA.1)	BA.1.16
21K (BA.1)	BA.1.16.1
21K (BA.1)	BA.1.16.2
21K (BA.1)	BA.1.1.7
21K (BA.1)	BA.1.17
21K (BA.1)	BA.1.17.1
21K (BA.1)	BA.1.17.2
21K (BA.1)	BA.1.1.8
21K (BA.1)	BA.1.18
21K (BA.1)	BA.1.1.9
21K (BA.1)	BA.1.19
21K (BA.1)	BA.1.2
21K (BA.1)	BA.1.20
21K (BA.1)	BA.1.21
21K (BA.1)	BA.1.21.1
21K (BA.1)	BA.1.23
21K (BA.1)	BA.1.3
21K (BA.1)	BA.1.4
21K (BA.1)	BA.1.5
21K (BA.1)	BA.1.6
21K (BA.1)	BA.1.7
21K (BA.1)	BA.1.8
21K (BA.1)	BA.1.9
21K (BA.1)	BC.1
21K (BA.1)	BC.2
21K (BA.1)	BD.1
21K (BA.1)	miscDeltaBA1Post4k
21K (BA.1)	proposed422
21K (BA.1)	proposed439
21K (BA.1)	proposed441
21K (BA.1)	proposed446
21K (BA.1)	proposed455
21K (BA.1)	XAW
21K (BA.1)	XD
21K (BA.1)	XF
21K (BA.1)	XP
21K (BA.1)	XS
21L (BA.2)	BA.2
21L (BA.2)	BA.2.1
21L (BA.2)	BA.2.10
21L (BA.2)	BA.2.10.1
21L (BA.2)	BA.2.10.2
21L (BA.2)	BA.2.10.3
21L (BA.2)	BA.2.10.4
21L (BA.2)	BA.2.11
21L (BA.2)	BA.2.12
21L (BA.2)	BA.2.12.2
21L (BA.2)	BA.2.13
21L (BA.2)	BA.2.13.1
21L (BA.2)	BA.2.14
21L (BA.2)	BA.2.15
21L (BA.2)	BA.2.16
21L (BA.2)	BA.2.17
21L (BA.2)	BA.2_17079_27945
21L (BA.2)	BA.2.18
21L (BA.2)	BA.2.19
21L (BA.2)	BA.2.2
21L (BA.2)	BA.2.20
21L (BA.2)	BA.2.2.1
21L (BA.2)	BA.2.21
21L (BA.2)	BA.2_21765_no22792
21L (BA.2)	BA.2.22
21L (BA.2)	BA.2_22792_27945
21L (BA.2)	BA.2.23
21L (BA.2)	BA.2.23.1
21L (BA.2)	BA.2.24
21L (BA.2)	BA.2.25
21L (BA.2)	BA.2.25.1
21L (BA.2)	BA.2_25416_27945
21L (BA.2)	BA.2.26
21L (BA.2)	BA.2.27
21L (BA.2)	BA.2.28
21L (BA.2)	BA.2.29
21L (BA.2)	BA.2.3
21L (BA.2)	BA.2.30
21L (BA.2)	BA.2.3.1
21L (BA.2)	BA.2.31
21L (BA.2)	BA.2.3.10
21L (BA.2)	BA.2.3.11
21L (BA.2)	BA.2.31.1
21L (BA.2)	BA.2.3.12
21L (BA.2)	BA.2.3.13
21L (BA.2)	BA.2.3.14
21L (BA.2)	BA.2.3.15
21L (BA.2)	BA.2.3.16
21L (BA.2)	BA.2.3.17
21L (BA.2)	BA.2.3.18
21L (BA.2)	BA.2.3.2
21L (BA.2)	BA.2.32
21L (BA.2)	BA.2.3.20
21L (BA.2)	BA.2.3.21
21L (BA.2)	BA.2.3.22
21L (BA.2)	BA.2.33
21L (BA.2)	BA.2.3.4
21L (BA.2)	BA.2.34
21L (BA.2)	BA.2.3.5
21L (BA.2)	BA.2.35
21L (BA.2)	BA.2.3.6
21L (BA.2)	BA.2.36
21L (BA.2)	BA.2.3.7
21L (BA.2)	BA.2.37
21L (BA.2)	BA.2.3.8
21L (BA.2)	BA.2.38
21L (BA.2)	BA.2.38.1
21L (BA.2)	BA.2.38.2
21L (BA.2)	BA.2.38.3
21L (BA.2)	BA.2.38.4
21L (BA.2)	BA.2.3.9
21L (BA.2)	BA.2.39
21L (BA.2)	BA.2.3.9_rev10198
21L (BA.2)	BA.2.4
21L (BA.2)	BA.2.40
21L (BA.2)	BA.2.40.1
21L (BA.2)	BA.2.41
21L (BA.2)	BA.2.42
21L (BA.2)	BA.2.43
21L (BA.2)	BA.2.44
21L (BA.2)	BA.2.45
21L (BA.2)	BA.2.46
21L (BA.2)	BA.2.47
21L (BA.2)	BA.2.48
21L (BA.2)	BA.2.49
21L (BA.2)	BA.2.5
21L (BA.2)	BA.2.50
21L (BA.2)	BA.2.51
21L (BA.2)	BA.2.52
21L (BA.2)	BA.2.53
21L (BA.2)	BA.2.54
21L (BA.2)	BA.2.55
21L (BA.2)	BA.2.56
21L (BA.2)	BA.2.57
21L (BA.2)	BA.2.58
21L (BA.2)	BA.2.59
21L (BA.2)	BA.2.6
21L (BA.2)	BA.2.60
21L (BA.2)	BA.2.61
21L (BA.2)	BA.2.62
21L (BA.2)	BA.2.63
21L (BA.2)	BA.2.64
21L (BA.2)	BA.2.65
21L (BA.2)	BA.2.66
21L (BA.2)	BA.2.67
21L (BA.2)	BA.2.68
21L (BA.2)	BA.2.69
21L (BA.2)	BA.2.7
21L (BA.2)	BA.2.70
21L (BA.2)	BA.2.71
21L (BA.2)	BA.2.72
21L (BA.2)	BA.2.73
21L (BA.2)	BA.2.74
21L (BA.2)	BA.2.75_dropout
21L (BA.2)	BA.2.76
21L (BA.2)	BA.2.76.1
21L (BA.2)	BA.2.77
21L (BA.2)	BA.2.78
21L (BA.2)	BA.2.79
21L (BA.2)	BA.2.79.1
21L (BA.2)	BA.2.8
21L (BA.2)	BA.2.80
21L (BA.2)	BA.2.81
21L (BA.2)	BA.2.82
21L (BA.2)	BA.2.83
21L (BA.2)	BA.2.85
21L (BA.2)	BA.2.9
21L (BA.2)	BA.2.9.1
21L (BA.2)	BA.2.9.2
21L (BA.2)	BA.2.9.3
21L (BA.2)	BA.2.9.4
21L (BA.2)	BA.2.9.5
21L (BA.2)	BA.2.9.6
21L (BA.2)	BA.2.9.7
21L (BA.2)	BA.4.8
21L (BA.2)	BA.4_dropout
21L (BA.2)	BA.5_dropout
21L (BA.2)	BH.1
21L (BA.2)	BJ.1
21L (BA.2)	BP.1
21L (BA.2)	BS.1
21L (BA.2)	BS.1.1
21L (BA.2)	BS.1.2
21L (BA.2)	CM.1
21L (BA.2)	CM.10
21L (BA.2)	CM.11
21L (BA.2)	CM.12
21L (BA.2)	CM.2
21L (BA.2)	CM.2.1
21L (BA.2)	CM.3
21L (BA.2)	CM.4
21L (BA.2)	CM.4.1
21L (BA.2)	CM.5
21L (BA.2)	CM.5.1
21L (BA.2)	CM.5.2
21L (BA.2)	CM.6
21L (BA.2)	CM.6.1
21L (BA.2)	CM.7
21L (BA.2)	CM.7.1
21L (BA.2)	CM.7.1.1
21L (BA.2)	CM.8
21L (BA.2)	CM.8.1
21L (BA.2)	CM.8.1.1
21L (BA.2)	CM.8.1.2
21L (BA.2)	CM.8.1.3
21L (BA.2)	CM.8.1.4
21L (BA.2)	CM.8.1.5
21L (BA.2)	CM.9
21L (BA.2)	DD.1
21L (BA.2)	FV.1
21L (BA.2)	miscBA1BA2Post13k
21L (BA.2)	miscBA1BA2Post17k
21L (BA.2)	miscBA1BA2Post5386
21L (BA.2)	miscBA1BA2Post8393
21L (BA.2)	miscBA1BA2Pre10k
21L (BA.2)	miscBA1BA2Pre4321
21L (BA.2)	miscBA2BA1PostSpike
21L (BA.2)	proposed467
21L (BA.2)	XAA
21L (BA.2)	XAB
21L (BA.2)	XAC
21L (BA.2)	XAD
21L (BA.2)	XAE
21L (BA.2)	XAF
21L (BA.2)	XAG
21L (BA.2)	XAH
21L (BA.2)	XAJ
21L (BA.2)	XAK
21L (BA.2)	XAL
21L (BA.2)	XAM
21L (BA.2)	XAP
21L (BA.2)	XAQ
21L (BA.2)	XAS
21L (BA.2)	XAT
21L (BA.2)	XAU
21L (BA.2)	XBB_dropout
21L (BA.2)	XBJ
21L (BA.2)	XBJ.1
21L (BA.2)	XBJ.2
21L (BA.2)	XBJ.3
21L (BA.2)	XBJ.4
21L (BA.2)	XCT
21L (BA.2)	XCT.1
21L (BA.2)	XE
21L (BA.2)	XG
21L (BA.2)	XH
21L (BA.2)	XJ
21L (BA.2)	XL
21L (BA.2)	XM
21L (BA.2)	XN
21L (BA.2)	XQ
21L (BA.2)	XR
21L (BA.2)	XU
21L (BA.2)	XV
21L (BA.2)	XW
21L (BA.2)	XY
21L (BA.2)	XZ
21M (Omicron)	B.1.1.529
21M (Omicron)	BA.1_dropout
21M (Omicron)	BA.2_dropout
21M (Omicron)	BA.3
21M (Omicron)	BA.3.1
21M (Omicron)	GL.1
21M (Omicron)	GL.3
21M (Omicron)	GT.1
21M (Omicron)	HW.1
21M (Omicron)	HW.1.1
21M (Omicron)	HW.1.2
21M (Omicron)	HW.1.3
21M (Omicron)	KD.1
21M (Omicron)	KD.2
21M (Omicron)	XAY
21M (Omicron)	XAY.1
21M (Omicron)	XAY.1.1
21M (Omicron)	XAY.1.1.1
21M (Omicron)	XAY.1.1.2
21M (Omicron)	XAY.1.1.3
21M (Omicron)	XAY.1.2
21M (Omicron)	XAY.2
21M (Omicron)	XAY.2.1
21M (Omicron)	XAY.2.2
21M (Omicron)	XAY.2.3
21M (Omicron)	XAY.3
21M (Omicron)	XBC.1
21M (Omicron)	XBC.1.1
21M (Omicron)	XBC.1.1.1
21M (Omicron)	XBC.1.2
21M (Omicron)	XBC.1.2.1
21M (Omicron)	XBC.1.3
21M (Omicron)	XBC.1.3.1
21M (Omicron)	XBC.1.4
21M (Omicron)	XBC.1.5
21M (Omicron)	XBC.1.6
21M (Omicron)	XBC.1.6.1
21M (Omicron)	XBC.1.6.3
21M (Omicron)	XBC.1.6.4
21M (Omicron)	XBC.1.6.5
21M (Omicron)	XBC.2
21M (Omicron)	XCU
22A (BA.4)	BA.4
22A (BA.4)	BA.4.1
22A (BA.4)	BA.4.1.1
22A (BA.4)	BA.4.1.10
22A (BA.4)	BA.4.1.11
22A (BA.4)	BA.4.1.2
22A (BA.4)	BA.4.1.3
22A (BA.4)	BA.4.1.4
22A (BA.4)	BA.4.1.5
22A (BA.4)	BA.4.1.6
22A (BA.4)	BA.4.1.7
22A (BA.4)	BA.4.1.8
22A (BA.4)	BA.4.1.9
22A (BA.4)	BA.4.2
22A (BA.4)	BA.4.3
22A (BA.4)	BA.4.4
22A (BA.4)	BA.4.5
22A (BA.4)	BA.4.6
22A (BA.4)	BA.4.6.1
22A (BA.4)	BA.4.6.2
22A (BA.4)	BA.4.6.3
22A (BA.4)	BA.4.6.4
22A (BA.4)	BA.4.6.5
22A (BA.4)	BA.4.7
22A (BA.4)	CS.1
22A (BA.4)	DC.1
22A (BA.4)	proposed1006
22B (BA.5)	BA.5
22B (BA.5)	BA.5.1
22B (BA.5)	BA.5.10
22B (BA.5)	BA.5.10.1
22B (BA.5)	BA.5.1.1
22B (BA.5)	BA.5.11
22B (BA.5)	BA.5.1.10
22B (BA.5)	BA.5.1.11
22B (BA.5)	BA.5.1.12
22B (BA.5)	BA.5.1.15
22B (BA.5)	BA.5.1.15_no10183
22B (BA.5)	BA.5.1.16
22B (BA.5)	BA.5.1.17
22B (BA.5)	BA.5.1.18
22B (BA.5)	BA.5.1.19
22B (BA.5)	BA.5.1.2
22B (BA.5)	BA.5.12
22B (BA.5)	BA.5.1.20
22B (BA.5)	BA.5.1.21
22B (BA.5)	BA.5.1.22
22B (BA.5)	BA.5.1.23
22B (BA.5)	BA.5.1.24
22B (BA.5)	BA.5.1.25
22B (BA.5)	BA.5.1.26
22B (BA.5)	BA.5.1.27
22B (BA.5)	BA.5.1.28
22B (BA.5)	BA.5.1.29
22B (BA.5)	BA.5.1.3
22B (BA.5)	BA.5.1.30
22B (BA.5)	BA.5.1.31
22B (BA.5)	BA.5.1.32
22B (BA.5)	BA.5.1.33
22B (BA.5)	BA.5.1.34
22B (BA.5)	BA.5.1.35
22B (BA.5)	BA.5.1.36
22B (BA.5)	BA.5.1.37
22B (BA.5)	BA.5.1.38
22B (BA.5)	BA.5.1.4
22B (BA.5)	BA.5.1.5
22B (BA.5)	BA.5.1.6
22B (BA.5)	BA.5.1.7
22B (BA.5)	BA.5.1.8
22B (BA.5)	BA.5.1.9
22B (BA.5)	BA.5.1_no27438
22B (BA.5)	BA.5.1_no29666
22B (BA.5)	BA.5.2
22B (BA.5)	BA.5.2.1
22B (BA.5)	BA.5.2.10
22B (BA.5)	BA.5.2.11
22B (BA.5)	BA.5.2.12
22B (BA.5)	BA.5.2.13
22B (BA.5)	BA.5.2.14
22B (BA.5)	BA.5.2.16
22B (BA.5)	BA.5.2.18
22B (BA.5)	BA.5.2.19
22B (BA.5)	BA.5.2.2
22B (BA.5)	BA.5.2.20
22B (BA.5)	BA.5.2.21
22B (BA.5)	BA.5.2.22
22B (BA.5)	BA.5.2.23
22B (BA.5)	BA.5.2.24
22B (BA.5)	BA.5.2.25
22B (BA.5)	BA.5.2.26
22B (BA.5)	BA.5.2.27
22B (BA.5)	BA.5.2.28
22B (BA.5)	BA.5.2.29
22B (BA.5)	BA.5.2.3
22B (BA.5)	BA.5.2.30
22B (BA.5)	BA.5.2.31
22B (BA.5)	BA.5.2.32
22B (BA.5)	BA.5.2.33
22B (BA.5)	BA.5.2.34
22B (BA.5)	BA.5.2.35
22B (BA.5)	BA.5.2.36
22B (BA.5)	BA.5.2.37
22B (BA.5)	BA.5.2.38
22B (BA.5)	BA.5.2.39
22B (BA.5)	BA.5.2.4
22B (BA.5)	BA.5.2.40
22B (BA.5)	BA.5.2.41
22B (BA.5)	BA.5.2.42
22B (BA.5)	BA.5.2.43
22B (BA.5)	BA.5.2.44
22B (BA.5)	BA.5.2.45
22B (BA.5)	BA.5.2.46
22B (BA.5)	BA.5.2.47
22B (BA.5)	BA.5.2.48
22B (BA.5)	BA.5.2.49
22B (BA.5)	BA.5.2.5
22B (BA.5)	BA.5.2.50
22B (BA.5)	BA.5.2.51
22B (BA.5)	BA.5.2.52
22B (BA.5)	BA.5.2.53
22B (BA.5)	BA.5.2.54
22B (BA.5)	BA.5.2.55
22B (BA.5)	BA.5.2.56
22B (BA.5)	BA.5.2.57
22B (BA.5)	BA.5.2.58
22B (BA.5)	BA.5.2.59
22B (BA.5)	BA.5.2.6
22B (BA.5)	BA.5.2.60
22B (BA.5)	BA.5.2.61
22B (BA.5)	BA.5.2.62
22B (BA.5)	BA.5.2.63
22B (BA.5)	BA.5.2.7
22B (BA.5)	BA.5.2.8
22B (BA.5)	BA.5.2.9
22B (BA.5)	BA.5.2_quad_22599T
22B (BA.5)	BA.5.3
22B (BA.5)	BA.5.3.1
22B (BA.5)	BA.5.3.2
22B (BA.5)	BA.5.3.3
22B (BA.5)	BA.5.3.4
22B (BA.5)	BA.5.3.5
22B (BA.5)	BA.5.5
22B (BA.5)	BA.5.5.1
22B (BA.5)	BA.5.5.2
22B (BA.5)	BA.5.5.3
22B (BA.5)	BA.5.6
22B (BA.5)	BA.5.6.1
22B (BA.5)	BA.5.6.2
22B (BA.5)	BA.5.6.3
22B (BA.5)	BA.5.6.4
22B (BA.5)	BA.5.7
22B (BA.5)	BA.5.8
22B (BA.5)	BA.5.9
22B (BA.5)	BE.1
22B (BA.5)	BE.10
22B (BA.5)	BE.1.1
22B (BA.5)	BE.11
22B (BA.5)	BE.1.1.1
22B (BA.5)	BE.1.1.2
22B (BA.5)	BE.1.2
22B (BA.5)	BE.12
22B (BA.5)	BE.1.2.1
22B (BA.5)	BE.1.3
22B (BA.5)	BE.13
22B (BA.5)	BE.1.4
22B (BA.5)	BE.1.4.1
22B (BA.5)	BE.1.4.2
22B (BA.5)	BE.1.4.3
22B (BA.5)	BE.1.4.4
22B (BA.5)	BE.2
22B (BA.5)	BE.3
22B (BA.5)	BE.4
22B (BA.5)	BE.4.1
22B (BA.5)	BE.4.1.1
22B (BA.5)	BE.4.2
22B (BA.5)	BE.5
22B (BA.5)	BE.6
22B (BA.5)	BE.7
22B (BA.5)	BE.8
22B (BA.5)	BE.9
22B (BA.5)	BE.9_alt
22B (BA.5)	BF.1
22B (BA.5)	BF.10
22B (BA.5)	BF.10.1
22B (BA.5)	BF.1.1
22B (BA.5)	BF.11
22B (BA.5)	BF.11.1
22B (BA.5)	BF.11.2
22B (BA.5)	BF.11.3
22B (BA.5)	BF.11.4
22B (BA.5)	BF.11.5
22B (BA.5)	BF.12
22B (BA.5)	BF.13
22B (BA.5)	BF.14
22B (BA.5)	BF.15
22B (BA.5)	BF.16
22B (BA.5)	BF.17
22B (BA.5)	BF.18
22B (BA.5)	BF.19
22B (BA.5)	BF.2
22B (BA.5)	BF.20
22B (BA.5)	BF.21
22B (BA.5)	BF.22
22B (BA.5)	BF.23
22B (BA.5)	BF.24
22B (BA.5)	BF.24_alt
22B (BA.5)	BF.25
22B (BA.5)	BF.26
22B (BA.5)	BF.27
22B (BA.5)	BF.28
22B (BA.5)	BF.29
22B (BA.5)	BF.3
22B (BA.5)	BF.30
22B (BA.5)	BF.3.1
22B (BA.5)	BF.31
22B (BA.5)	BF.31.1
22B (BA.5)	BF.32
22B (BA.5)	BF.34
22B (BA.5)	BF.35
22B (BA.5)	BF.36
22B (BA.5)	BF.38
22B (BA.5)	BF.38.3
22B (BA.5)	BF.39
22B (BA.5)	BF.39.1
22B (BA.5)	BF.4
22B (BA.5)	BF.40
22B (BA.5)	BF.41
22B (BA.5)	BF.41.1
22B (BA.5)	BF.5
22B (BA.5)	BF.5.1
22B (BA.5)	BF.5.2
22B (BA.5)	BF.5.4
22B (BA.5)	BF.5.5
22B (BA.5)	BF.6
22B (BA.5)	BF.7
22B (BA.5)	BF.7.1
22B (BA.5)	BF.7.10
22B (BA.5)	BF.7.11
22B (BA.5)	BF.7.12
22B (BA.5)	BF.7.13
22B (BA.5)	BF.7.13.1
22B (BA.5)	BF.7.13.2
22B (BA.5)	BF.7.14
22B (BA.5)	BF.7.14.1
22B (BA.5)	BF.7.14.2
22B (BA.5)	BF.7.14.3
22B (BA.5)	BF.7.14.4
22B (BA.5)	BF.7.14.5
22B (BA.5)	BF.7.14.6
22B (BA.5)	BF.7.14.7
22B (BA.5)	BF.7.15
22B (BA.5)	BF.7.16
22B (BA.5)	BF.7.17
22B (BA.5)	BF.7.18
22B (BA.5)	BF.7.19
22B (BA.5)	BF.7.19.1
22B (BA.5)	BF.7.2
22B (BA.5)	BF.7.20
22B (BA.5)	BF.7.21
22B (BA.5)	BF.7.22
22B (BA.5)	BF.7.23
22B (BA.5)	BF.7.24
22B (BA.5)	BF.7.26
22B (BA.5)	BF.7.27
22B (BA.5)	BF.7.3
22B (BA.5)	BF.7.4
22B (BA.5)	BF.7.4.1
22B (BA.5)	BF.7.4.2
22B (BA.5)	BF.7.4.3
22B (BA.5)	BF.7.5
22B (BA.5)	BF.7.5.1
22B (BA.5)	BF.7.6
22B (BA.5)	BF.7.7
22B (BA.5)	BF.7.8
22B (BA.5)	BF.7.9
22B (BA.5)	BF.8
22B (BA.5)	BF.9
22B (BA.5)	BK.1
22B (BA.5)	BQ.2
22B (BA.5)	BT.1
22B (BA.5)	BT.2
22B (BA.5)	BU.1
22B (BA.5)	BU.2
22B (BA.5)	BU.3
22B (BA.5)	BV.1
22B (BA.5)	BV.2
22B (BA.5)	BW.1
22B (BA.5)	BW.1.1
22B (BA.5)	BW.1.1.1
22B (BA.5)	BW.1.1.2
22B (BA.5)	BW.1.2
22B (BA.5)	BZ.1
22B (BA.5)	BZ.2
22B (BA.5)	CC.1
22B (BA.5)	CD.1
22B (BA.5)	CD.2
22B (BA.5)	CE.1
22B (BA.5)	CF.1
22B (BA.5)	CG.1
22B (BA.5)	CK.1
22B (BA.5)	CK.1.1.2
22B (BA.5)	CK.1.2
22B (BA.5)	CK.1.3
22B (BA.5)	CK.1.4
22B (BA.5)	CK.1.5
22B (BA.5)	CK.2
22B (BA.5)	CK.2.1
22B (BA.5)	CK.2.1.1
22B (BA.5)	CK.3
22B (BA.5)	CL.1
22B (BA.5)	CL.1.1
22B (BA.5)	CL.1.2
22B (BA.5)	CL.1.3
22B (BA.5)	CN.1
22B (BA.5)	CN.2
22B (BA.5)	CP.1
22B (BA.5)	CP.1.1
22B (BA.5)	CP.1.2
22B (BA.5)	CP.1.3
22B (BA.5)	CP.2
22B (BA.5)	CP.3
22B (BA.5)	CP.4
22B (BA.5)	CP.5
22B (BA.5)	CP.6
22B (BA.5)	CP.7
22B (BA.5)	CP.8
22B (BA.5)	CQ.1
22B (BA.5)	CQ.1.1
22B (BA.5)	CQ.2
22B (BA.5)	CR.1
22B (BA.5)	CR.1.1
22B (BA.5)	CR.1.3
22B (BA.5)	CR.2
22B (BA.5)	CT.1
22B (BA.5)	CU.1
22B (BA.5)	CY.1
22B (BA.5)	CY.2
22B (BA.5)	DA.1
22B (BA.5)	DB.1
22B (BA.5)	DB.2
22B (BA.5)	DE.1
22B (BA.5)	DE.2
22B (BA.5)	DF.1
22B (BA.5)	DF.1.1
22B (BA.5)	DG.1
22B (BA.5)	DH.1
22B (BA.5)	DJ.1
22B (BA.5)	DJ.1.1
22B (BA.5)	DJ.1.1.1
22B (BA.5)	DJ.1.2
22B (BA.5)	DJ.1.3
22B (BA.5)	DL.1
22B (BA.5)	DQ.1
22B (BA.5)	DW.1
22B (BA.5)	DY.1
22B (BA.5)	DY.1.1
22B (BA.5)	DY.2
22B (BA.5)	DY.3
22B (BA.5)	DY.4
22B (BA.5)	DZ.1
22B (BA.5)	DZ.2
22B (BA.5)	EB.1
22B (BA.5)	EQ.1
22B (BA.5)	miscBA.5BA.2.75
22B (BA.5)	XAN
22B (BA.5)	XAV
22B (BA.5)	XAZ
22B (BA.5)	XBE
22B (BA.5)	XBG
22B (BA.5)	XBM
22B (BA.5)	XBT
22B (BA.5)	XCB
22C (BA.2.12.1)	BA.2.12.1
22C (BA.2.12.1)	BG.1
22C (BA.2.12.1)	BG.2
22C (BA.2.12.1)	BG.3
22C (BA.2.12.1)	BG.4
22C (BA.2.12.1)	BG.5
22C (BA.2.12.1)	BG.6
22D (BA.2.75)	BA.2.75
22D (BA.2.75)	BA.2.75.1
22D (BA.2.75)	BA.2.75.10
22D (BA.2.75)	BA.2.75.2
22D (BA.2.75)	BA.2.75.2_no5192
22D (BA.2.75)	BA.2.75.3
22D (BA.2.75)	BA.2.75.4
22D (BA.2.75)	BA.2.75.5
22D (BA.2.75)	BA.2.75.6
22D (BA.2.75)	BA.2.75.7
22D (BA.2.75)	BA.2.75.8
22D (BA.2.75)	BA.2.75.9
22D (BA.2.75)	BL.1
22D (BA.2.75)	BL.1.1
22D (BA.2.75)	BL.1.2
22D (BA.2.75)	BL.1.3
22D (BA.2.75)	BL.1.4
22D (BA.2.75)	BL.1.5
22D (BA.2.75)	BL.2
22D (BA.2.75)	BL.3
22D (BA.2.75)	BL.4
22D (BA.2.75)	BL.5
22D (BA.2.75)	BL.6
22D (BA.2.75)	BM.1
22D (BA.2.75)	BM.1.1
22D (BA.2.75)	BM.1.1.1
22D (BA.2.75)	BM.1.1.2
22D (BA.2.75)	BM.1.1.3
22D (BA.2.75)	BM.1.1.4
22D (BA.2.75)	BM.1.1.5
22D (BA.2.75)	BM.2
22D (BA.2.75)	BM.2.1
22D (BA.2.75)	BM.2.3
22D (BA.2.75)	BM.3
22D (BA.2.75)	BM.4
22D (BA.2.75)	BM.4.1
22D (BA.2.75)	BM.4.1.1
22D (BA.2.75)	BM.5
22D (BA.2.75)	BM.6
22D (BA.2.75)	BN.1
22D (BA.2.75)	BN.1.1
22D (BA.2.75)	BN.1.10
22D (BA.2.75)	BN.1.1.1
22D (BA.2.75)	BN.1.11
22D (BA.2.75)	BN.1.2
22D (BA.2.75)	BN.1.2.1
22D (BA.2.75)	BN.1.2.2
22D (BA.2.75)	BN.1.2.3
22D (BA.2.75)	BN.1.2.4
22D (BA.2.75)	BN.1.2.5
22D (BA.2.75)	BN.1.2.6
22D (BA.2.75)	BN.1.2.7
22D (BA.2.75)	BN.1.2.8
22D (BA.2.75)	BN.1.3
22D (BA.2.75)	BN.1.3.1
22D (BA.2.75)	BN.1.3.10
22D (BA.2.75)	BN.1.3.11
22D (BA.2.75)	BN.1.3.12
22D (BA.2.75)	BN.1.3.13
22D (BA.2.75)	BN.1.3.2
22D (BA.2.75)	BN.1.3.3
22D (BA.2.75)	BN.1.3.4
22D (BA.2.75)	BN.1.3.5
22D (BA.2.75)	BN.1.3.6
22D (BA.2.75)	BN.1.3.7
22D (BA.2.75)	BN.1.3.8
22D (BA.2.75)	BN.1.3.9
22D (BA.2.75)	BN.1.4
22D (BA.2.75)	BN.1.4.1
22D (BA.2.75)	BN.1.4.2
22D (BA.2.75)	BN.1.4.3
22D (BA.2.75)	BN.1.4.4
22D (BA.2.75)	BN.1.4.5
22D (BA.2.75)	BN.1.5
