clade	lineage
20A	B.1.558
20A	B.1.559
20A	B.1.561
20A	B.1.562
20A	B.1.563
20A	B.1.565
20A	B.1.596
20A	B.1.6
20A	B.1.600
20A	B.1.602
20A	B.1.609
20A	B.1.610
20A	B.1.617
20A	B.1.617.3
20A	B.1.618
20A	B.1.619
20A	B.1.619.1
20A	B.1.620
20A	B.1.625
20A	B.1.627
20A	B.1.629
20A	B.1.631
20A	B.1.632
20A	B.1.633
20A	B.1.634
20A	B.1.635
20A	B.1.636
20A	B.1.639
20A	B.1.640
20A	B.1.640.1
20A	B.1.640.2
20A	B.1.67
20A	B.1.69
20A	B.1.70
20A	B.1.76
20A	B.1.77
20A	B.1.78
20A	B.1.8
20A	B.1.81
20A	B.1.9
20A	B.1.9.1
20A	B.1.91
20A	B.1.9.2
20A	B.1.93
20A	B.1.9.4
20A	B.1.94
20A	B.1.9.5
20A	B.1.96
20A	B.1.97
20A	G.1
20A	XB
20B	AC.1
20B	AD.1
20B	AD.2
20B	AE.1
20B	AE.2
20B	AE.4
20B	AE.5
20B	AE.6
20B	AE.7
20B	AE.8
20B	AF.1
20B	AG.1
20B	AH.1
20B	AH.2
20B	AH.3
20B	AJ.1
20B	AK.1
20B	AK.2
20B	AM.1
20B	AM.2
20B	AM.3
20B	AN.1
20B	AP.1
20B	AQ.1
20B	AS.1
20B	AS.2
20B	AT.1
20B	AV.1
20B	AZ.2
20B	AZ.2.1
20B	AZ.3
20B	AZ.4
20B	AZ.5
20B	B.1.1
20B	B.1.1.1
20B	B.1.1.10
20B	B.1.1.101
20B	B.1.1.107
20B	B.1.1.109
20B	B.1.1.110
20B	B.1.1.111
20B	B.1.1.113
20B	B.1.1.114
20B	B.1.1.115
20B	B.1.1.116
20B	B.1.1.117
20B	B.1.1.118
20B	B.1.1.119
20B	B.1.1.12
20B	B.1.1.120
20B	B.1.1.121
20B	B.1.1.122
20B	B.1.1.123
20B	B.1.1.125
20B	B.1.1.128
20B	B.1.1.129
20B	B.1.1.13
20B	B.1.1.130
20B	B.1.1.132
20B	B.1.1.133
20B	B.1.1.134
20B	B.1.1.135
20B	B.1.1.136
20B	B.1.1.137
20B	B.1.1.138
20B	B.1.1.139
20B	B.1.1.14
20B	B.1.1.141
20B	B.1.1.142
20B	B.1.1.144
20B	B.1.1.145
20B	B.1.1.147
20B	B.1.1.148
20B	B.1.1.149
20B	B.1.1.15
20B	B.1.1.152
20B	B.1.1.153
20B	B.1.1.154
20B	B.1.1.155
20B	B.1.1.157
20B	B.1.1.158
20B	B.1.1.159
20B	B.1.1.16
20B	B.1.1.160
20B	B.1.1.161
20B	B.1.1.162
20B	B.1.1.163
20B	B.1.1.164
20B	B.1.1.165
20B	B.1.1.166
20B	B.1.1.168
20B	B.1.1.169
20B	B.1.1.17
20B	B.1.1.170
20B	B.1.1.171
20B	B.1.1.172
20B	B.1.1.174
20B	B.1.1.175
20B	B.1.1.176
20B	B.1.1.177
20B	B.1.1.178
20B	B.1.1.180
20B	B.1.1.181
20B	B.1.1.182
20B	B.1.1.185
20B	B.1.1.186
20B	B.1.1.187
20B	B.1.1.189
20B	B.1.1.190
20B	B.1.1.192
20B	B.1.1.193
20B	B.1.1.194
20B	B.1.1.194_29706T
20B	B.1.1.196
20B	B.1.1.197
20B	B.1.1.198
20B	B.1.1.200
20B	B.1.1.201
20B	B.1.1.203
20B	B.1.1.204
20B	B.1.1.205
20B	B.1.1.207
20B	B.1.1.208
20B	B.1.1.209
20B	B.1.1.210
20B	B.1.1.213
20B	B.1.1.214
20B	B.1.1.216
20B	B.1.1.217
20B	B.1.1.218
20B	B.1.1.219
20B	B.1.1.220
20B	B.1.1.221
20B	B.1.1.222
20B	B.1.1.224
20B	B.1.1.225
20B	B.1.1.226
20B	B.1.1.227
20B	B.1.1.228
20B	B.1.1.229
20B	B.1.1.231
20B	B.1.1.232
20B	B.1.1.234
20B	B.1.1.236
20B	B.1.1.237
20B	B.1.1.239
20B	B.1.1.240
20B	B.1.1.241
20B	B.1.1.242
20B	B.1.1.243
20B	B.1.1.244
20B	B.1.1.249
20B	B.1.1.25
20B	B.1.1.251
20B	B.1.1.253
20B	B.1.1.254
20B	B.1.1.255
20B	B.1.1.256
20B	B.1.1.257
20B	B.1.1.258
20B	B.1.1.26
20B	B.1.1.261
20B	B.1.1.262
20B	B.1.1.263
20B	B.1.1.265
20B	B.1.1.266
20B	B.1.1.268
20B	B.1.1.269
20B	B.1.1.27
20B	B.1.1.270
20B	B.1.1.273
20B	B.1.1.274
20B	B.1.1.275
20B	B.1.1.277
20B	B.1.1.279
20B	B.1.1.28
20B	B.1.1.280
20B	B.1.1.282
20B	B.1.1.283
20B	B.1.1.284
20B	B.1.1.285
20B	B.1.1.286
20B	B.1.1.288
20B	B.1.1.289
20B	B.1.1.29
20B	B.1.1.290
20B	B.1.1.291
20B	B.1.1.294
20B	B.1.1.296
20B	B.1.1.297
20B	B.1.1.298
20B	B.1.1.299
20B	B.1.1.3
20B	B.1.1.300
20B	B.1.1.301
20B	B.1.1.302
20B	B.1.1.303
20B	B.1.1.304
20B	B.1.1.305
20B	B.1.1.306
20B	B.1.1.307
20B	B.1.1.308
20B	B.1.1.309
20B	B.1.1.310
20B	B.1.1.311
20B	B.1.1.312
20B	B.1.1.315
20B	B.1.1.316
20B	B.1.1.317
20B	B.1.1.318
20B	B.1.1.320
20B	B.1.1.322
20B	B.1.1.323
20B	B.1.1.325
20B	B.1.1.326
20B	B.1.1.327
20B	B.1.1.328
20B	B.1.1.329
20B	B.1.1.33
20B	B.1.1.331
20B	B.1.1.332
20B	B.1.1.333
20B	B.1.1.336
20B	B.1.1.337
20B	B.1.1.338
20B	B.1.1.339
20B	B.1.1.34
20B	B.1.1.341
20B	B.1.1.342
20B	B.1.1.344
20B	B.1.1.345
20B	B.1.1.347
20B	B.1.1.348
20B	B.1.1.349
20B	B.1.1.351
20B	B.1.1.352
20B	B.1.1.353
20B	B.1.1.354
20B	B.1.1.355
20B	B.1.1.356
20B	B.1.1.357
20B	B.1.1.358
20B	B.1.1.359
20B	B.1.1.360
20B	B.1.1.361
20B	B.1.1.362
20B	B.1.1.363
20B	B.1.1.364
20B	B.1.1.365
20B	B.1.1.366
20B	B.1.1.367
20B	B.1.1.368
20B	B.1.1.369
20B	B.1.1.37
20B	B.1.1.371
20B	B.1.1.372
20B	B.1.1.373
20B	B.1.1.374
20B	B.1.1.376
20B	B.1.1.377
20B	B.1.1.378
20B	B.1.1.379
20B	B.1.1.38
20B	B.1.1.380
20B	B.1.1.381
20B	B.1.1.382
20B	B.1.1.383
20B	B.1.1.384
20B	B.1.1.385
20B	B.1.1.388
20B	B.1.1.389
20B	B.1.1.39
20B	B.1.1.391
20B	B.1.1.392
20B	B.1.1.393
20B	B.1.1.395
20B	B.1.1.396
20B	B.1.1.397
20B	B.1.1.398
20B	B.1.1.4
20B	B.1.1.40
20B	B.1.1.402
20B	B.1.1.403
20B	B.1.1.404
20B	B.1.1.405
20B	B.1.1.406
20B	B.1.1.408
20B	B.1.1.41
20B	B.1.1.412
20B	B.1.1.413
20B	B.1.1.416
20B	B.1.1.417
20B	B.1.1.418
20B	B.1.1.420
20B	B.1.1.421
20B	B.1.1.423
20B	B.1.1.424
20B	B.1.1.425
20B	B.1.1.426
20B	B.1.1.428
20B	B.1.1.429
20B	B.1.1.43
20B	B.1.1.430
20B	B.1.1.432
20B	B.1.1.434
20B	B.1.1.437
20B	B.1.1.438
20B	B.1.1.44
20B	B.1.1.440
20B	B.1.1.441
20B	B.1.1.447
20B	B.1.1.448
20B	B.1.1.449
20B	B.1.1.45
20B	B.1.1.450
20B	B.1.1.453
20B	B.1.1.458
20B	B.1.1.459
20B	B.1.1.46
20B	B.1.1.461
20B	B.1.1.462
20B	B.1.1.463
20B	B.1.1.464
20B	B.1.1.466
20B	B.1.1.467
20B	B.1.1.47
20B	B.1.1.48
20B	B.1.1.480
20B	B.1.1.482
20B	B.1.1.484
20B	B.1.1.485
20B	B.1.1.486
20B	B.1.1.487
20B	B.1.1.49
20B	B.1.1.5
20B	B.1.1.50
20B	B.1.1.500
20B	B.1.1.506
20B	B.1.1.507
20B	B.1.1.51
20B	B.1.1.512
20B	B.1.1.513
20B	B.1.1.514
20B	B.1.1.517
20B	B.1.1.518
20B	B.1.1.519
20B	B.1.1.521
20B	B.1.1.523
20B	B.1.1.524
20B	B.1.1.525
20B	B.1.1.526
20B	B.1.1.528
20B	B.1.1.529
20B	B.1.1.529_dropout
20B	B.1.1.54
20B	B.1.1.55
20B	B.1.1.57
20B	B.1.1.58
20B	B.1.1.59
20B	B.1.1.61
20B	B.1.1.62
20B	B.1.1.63
20B	B.1.1.67
20B	B.1.1.70
20B	B.1.1.71
20B	B.1.1.72
20B	B.1.173
20B	B.1.1.74
20B	B.1.1.75
20B	B.1.1.77
20B	B.1.1.7_dropout
20B	B.1.1.8
20B	B.1.1.82
20B	B.1.1.83
20B	B.1.1.86
20B	B.1.1.88
20B	B.1.1.89
20B	B.1.1.90
20B	B.1.1.92
20B	B.1.1.93
20B	B.1.1.95
20B	B.1.1.97
20B	B.1.1.98
20B	B.1.1.99
20B	B.1.531
20B	B.1.532
20B	B.1.533
20B	B.1.548
20B	B.1.560
20B	D.3
20B	D.4
20B	D.5
20B	K.2
20B	L.2
20B	L.3
20B	L.4
20B	M.2
20B	M.3
20B	N.1
20B	N.10
20B	N.2
20B	N.3
20B	N.4
20B	N.5
20B	N.6
20B	N.7
20B	N.8
20B	N.9
20B	P.1
20B	P.2
20B	P.4
20B	P.6
20B	P.7
20B	R.1
20B	R.2
20B	XA
20C	B.1
20C	B.1.108
20C	B.1.115
20C	B.1.116
20C	B.1.117
20C	B.1.118
20C	B.1.12
20C	B.1.120
20C	B.1.165
20C	B.1.166
20C	B.1.167
20C	B.1.168
20C	B.1.263
20C	B.1.264
20C	B.1.264.1
20C	B.1.265
20C	B.1.267
20C	B.1.268
20C	B.1.284
20C	B.1.287
20C	B.1.289
20C	B.1.293
20C	B.1.294
20C	B.1.298
20C	B.1.3
20C	B.1.301
20C	B.1.302
20C	B.1.304
20C	B.1.305
20C	B.1.306
20C	B.1.308
20C	B.1.309
20C	B.1.310
20C	B.1.311
20C	B.1.313
20C	B.1.314
20C	B.1.315
20C	B.1.318
20C	B.1.319
20C	B.1.320
20C	B.1.321
20C	B.1.323
20C	B.1.324
20C	B.1.325
20C	B.1.328
20C	B.1.329
20C	B.1.330
20C	B.1.332
20C	B.1.333
20C	B.1.334
20C	B.1.335
20C	B.1.336
20C	B.1.337
20C	B.1.338
20C	B.1.340
20C	B.1.341
20C	B.1.342
20C	B.1.344
20C	B.1.346
20C	B.1.348
20C	B.1.349
20C	B.1.350
20C	B.1.350.1
20C	B.1.355
20C	B.1.356
20C	B.1.357
20C	B.1.359
20C	B.1.360
20C	B.1.361
20C	B.1.362
20C	B.1.362.1
20C	B.1.362.2
20C	B.1.363
20C	B.1.366
20C	B.1.367
20C	B.1.369
20C	B.1.370
20C	B.1.372
20C	B.1.375
20C	B.1.38
20C	B.1.39
20C	B.1.40
20C	B.1.411
20C	B.1.413
20C	B.1.422
20C	B.1.423
20C	B.1.424
20C	B.1.425
20C	B.1.426
20C	B.1.428
20C	B.1.428.1
20C	B.1.428.2
20C	B.1.428.3
20C	B.1.431
20C	B.1.432
20C	B.1.433
20C	B.1.435
20C	B.1.437
20C	B.1.44
20C	B.1.444
20C	B.1.445
20C	B.1.448
20C	B.1.450
20C	B.1.451
20C	B.1.451_no29179
20C	B.1.452
20C	B.1.453
20C	B.1.485
20C	B.1.487
20C	B.1.489
20C	B.1.491
20C	B.1.492
20C	B.1.493
20C	B.1.494
20C	B.1.495
20C	B.1.496
20C	B.1.497
20C	B.1.498
20C	B.1.499
20C	B.1.499.1
20C	B.1.500
20C	B.1.501
20C	B.1.502
20C	B.1.503
20C	B.1.504
20C	B.1.505
20C	B.1.507
20C	B.1.508
20C	B.1.509
20C	B.1.510
20C	B.1.511
20C	B.1.513
20C	B.1.515
20C	B.1.516
20C	B.1.517
20C	B.1.518
20C	B.1.520
20C	B.1.521
20C	B.1.526
20C	B.1.541
20C	B.1.564
20C	B.1.564.1
20C	B.1.567
20C	B.1.568
20C	B.1.569
20C	B.1.570
20C	B.1.571
20C	B.1.572
20C	B.1.574
20C	B.1.575
20C	B.1.575.1
20C	B.1.576
20C	B.1.577
20C	B.1.578
20C	B.1.579
20C	B.1.580
20C	B.1.581
20C	B.1.582
20C	B.1.585
20C	B.1.586
20C	B.1.587
20C	B.1.588
20C	B.1.589
20C	B.1.590
20C	B.1.591
20C	B.1.593
20C	B.1.594
20C	B.1.595
20C	B.1.595.1
20C	B.1.595.2
20C	B.1.595.3
20C	B.1.595.4
20C	B.1.596.1
20C	B.1.597
20C	B.1.599
20C	B.1.601
20C	B.1.603
20C	B.1.604
20C	B.1.605
20C	B.1.606
20C	B.1.607
20C	B.1.623
20C	B.1.626
20C	B.1.630
20C	B.1.637
20C	B.1.637.1
20D	B.1.1.1
20D	B.1.1.375
20D	C.1
20D	C.1.2
20D	C.12
20D	C.13
20D	C.14
20D	C.16
20D	C.17
20D	C.18
20D	C.2
20D	C.20
20D	C.2.1
20D	C.23
20D	C.25
20D	C.26
20D	C.27
20D	C.28
20D	C.3
20D	C.30
20D	C.30.1
20D	C.31
20D	C.32
20D	C.33
20D	C.35
20D	C.36
20D	C.36.1
20D	C.36.2
20D	C.36.3
20D	C.36.3.1
20D	C.38
20D	C.4
20D	C.5
20D	C.8
20E	AA.1
20E	AA.2
20E	AA.3
20E	AA.4
20E	AA.5
20E	AA.6
20E	AA.7
20E	AA.8
20E	B.1
20E	B.1.177
20E	B.1.177.10
20E	B.1.177.11
20E	B.1.177.12
20E	B.1.177.14
20E	B.1.177.15
20E	B.1.177.16
20E	B.1.177.17
20E	B.1.177.18
20E	B.1.177.19
20E	B.1.177.2
